"","Taxon","Group","Difference","P_value"
"57","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Nocardioides","Control_days_0_to_7","NaN","NaN"
"58","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium","Control_days_0_to_7","NaN","NaN"
"59","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Actinomycetospora","Control_days_0_to_7","NaN","NaN"
"60","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Saccharopolyspora","Control_days_0_to_7","NaN","NaN"
"61","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces","Control_days_0_to_7","NaN","NaN"
"62","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Williamsiaceae;g__Williamsia","Control_days_0_to_7","NaN","NaN"
"63","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Yaniellaceae;g__Yaniella","Control_days_0_to_7","NaN","NaN"
"64","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__","Control_days_0_to_7","NaN","NaN"
"65","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium","Control_days_0_to_7","-87.050403408276","0.0442573495017687"
"66","k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;Other","Control_days_0_to_7","NaN","NaN"
"67","k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__","Control_days_0_to_7","-87.4436861170083","0.0395146163638062"
"68","k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia","Control_days_0_to_7","-67.9871491472811","0.0106060638273739"
"69","k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella","Control_days_0_to_7","NaN","NaN"
"70","k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__0319-7L14;f__;g__","Control_days_0_to_7","NaN","NaN"
"71","k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__","Control_days_0_to_7","NaN","NaN"
"72","k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__;g__","Control_days_0_to_7","NaN","NaN"
"73","k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Conexibacteraceae;g__","Control_days_0_to_7","NaN","NaN"
"74","k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__","Control_days_0_to_7","NaN","NaN"
"75","k__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__Armatimonadales;f__Armatimonadaceae;g__","Control_days_0_to_7","NaN","NaN"
"76","k__Bacteria;p__BRC1;c__PRR-11;o__;f__;g__","Control_days_0_to_7","NaN","NaN"
"77","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;Other;Other","Control_days_0_to_7","NaN","0.422649730810374"
"78","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__","Control_days_0_to_7","268.516503708237","0.254020837085402"
"79","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;Other","Control_days_0_to_7","NaN","NaN"
"80","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__","Control_days_0_to_7","NaN","NaN"
"81","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Control_days_0_to_7","25.4759288042786","0.67309653153357"
"82","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinilabiaceae;g__","Control_days_0_to_7","NaN","NaN"
"83","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Dysgonomonas","Control_days_0_to_7","NaN","NaN"
"84","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides","Control_days_0_to_7","2.67470319869131","0.802432657822833"
"85","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas","Control_days_0_to_7","NaN","NaN"
"86","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__","Control_days_0_to_7","NaN","NaN"
"87","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella","Control_days_0_to_7","-6.29633676801078","0.922181508803552"
"88","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;Other","Control_days_0_to_7","NaN","NaN"
