"","Taxon","Group","Difference","P_value"
"356","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;Other","Control_days_0_to_7","-100","0.422649730810374"
"357","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__C39","Control_days_0_to_7","NaN","NaN"
"358","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Dechloromonas","Control_days_0_to_7","NaN","NaN"
"359","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Hydrogenophilus","Control_days_0_to_7","NaN","NaN"
"360","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Propionivibrio","Control_days_0_to_7","NaN","NaN"
"361","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__SBla14;f__;g__","Control_days_0_to_7","NaN","NaN"
"362","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__SC-I-84;f__;g__","Control_days_0_to_7","NaN","NaN"
"363","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Thiobacterales;Other;Other","Control_days_0_to_7","NaN","NaN"
"364","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Thiobacterales;f__;g__","Control_days_0_to_7","151.384615384615","0.676940358717099"
"365","k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Thiobacterales;f__Thiobacteraceae;g__Thiobacter","Control_days_0_to_7","NaN","NaN"
"366","k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__","Control_days_0_to_7","NaN","NaN"
"367","k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales;f__Bacteriovoracaceae;g__","Control_days_0_to_7","NaN","NaN"
"368","k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio","Control_days_0_to_7","NaN","NaN"
"369","k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;Other","Control_days_0_to_7","NaN","0.422649730810374"
"370","k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__","Control_days_0_to_7","Inf","0.0590968635847881"
"371","k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila","Control_days_0_to_7","497.935433510285","0.0516774200756812"
"372","k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio","Control_days_0_to_7","-27.1598590799314","0.49489303392578"
"373","k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__FAC87;f__;g__","Control_days_0_to_7","NaN","NaN"
"374","k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__MIZ46;f__;g__","Control_days_0_to_7","NaN","NaN"
"375","k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__;g__","Control_days_0_to_7","NaN","NaN"
"376","k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Cystobacterineae;g__","Control_days_0_to_7","NaN","NaN"
"377","k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Haliangiaceae;g__","Control_days_0_to_7","NaN","NaN"
"378","k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__PB19;f__;g__","Control_days_0_to_7","NaN","NaN"
"379","k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Spirobacillales;f__;g__","Control_days_0_to_7","NaN","NaN"
"380","k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__","Control_days_0_to_7","NaN","NaN"
"381","k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__","Control_days_0_to_7","NaN","NaN"
"382","k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Sulfurimonas","Control_days_0_to_7","NaN","NaN"
"383","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__","Control_days_0_to_7","NaN","NaN"
"384","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__","Control_days_0_to_7","NaN","NaN"
"385","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__","Control_days_0_to_7","NaN","NaN"
"386","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Cellvibrio","Control_days_0_to_7","NaN","NaN"
"387","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__[Chromatiaceae];g__Rheinheimera","Control_days_0_to_7","NaN","NaN"
"388","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__","Control_days_0_to_7","NaN","NaN"
"389","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;Other","Control_days_0_to_7","NaN","NaN"
"390","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__","Control_days_0_to_7","24.8445499929776","0.747569346554628"
"391","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Citrobacter","Control_days_0_to_7","NaN","NaN"
"392","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Enterobacter","Control_days_0_to_7","NaN","NaN"
"393","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Erwinia","Control_days_0_to_7","NaN","NaN"
"394","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia","Control_days_0_to_7","NaN","NaN"
"395","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Klebsiella","Control_days_0_to_7","NaN","NaN"
"396","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Morganella","Control_days_0_to_7","NaN","NaN"
"397","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Pantoea","Control_days_0_to_7","NaN","NaN"
"398","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Plesiomonas","Control_days_0_to_7","NaN","NaN"
"399","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Proteus","Control_days_0_to_7","NaN","NaN"
"400","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Serratia","Control_days_0_to_7","NaN","NaN"
"401","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Trabulsiella","Control_days_0_to_7","NaN","NaN"
"402","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__HTCC2188;f__HTCC2089;g__","Control_days_0_to_7","NaN","NaN"
"403","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__;g__","Control_days_0_to_7","NaN","NaN"
"404","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae;g__","Control_days_0_to_7","NaN","NaN"
"405","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae;g__Aquicella","Control_days_0_to_7","NaN","NaN"
"406","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae;g__Rickettsiella","Control_days_0_to_7","NaN","NaN"
"407","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;Other","Control_days_0_to_7","NaN","NaN"
"408","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__","Control_days_0_to_7","NaN","NaN"
"409","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella","Control_days_0_to_7","NaN","NaN"
"410","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae;g__Halomonas","Control_days_0_to_7","NaN","NaN"
"411","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Aggregatibacter","Control_days_0_to_7","NaN","NaN"
"412","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus","Control_days_0_to_7","NaN","NaN"
"413","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Mannheimia","Control_days_0_to_7","NaN","NaN"
"414","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter","Control_days_0_to_7","NaN","NaN"
"415","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Enhydrobacter","Control_days_0_to_7","NaN","NaN"
"416","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella","Control_days_0_to_7","NaN","NaN"
"417","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Perlucidibaca","Control_days_0_to_7","NaN","NaN"
"418","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter","Control_days_0_to_7","NaN","NaN"
"419","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__","Control_days_0_to_7","NaN","NaN"
"420","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas","Control_days_0_to_7","NaN","NaN"
"421","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae;g__Salinisphaera","Control_days_0_to_7","NaN","NaN"
"422","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiohalorhabdales;f__;g__","Control_days_0_to_7","NaN","NaN"
"423","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Piscirickettsiaceae;g__","Control_days_0_to_7","NaN","NaN"
"424","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Aliivibrio","Control_days_0_to_7","NaN","NaN"
"425","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;Other","Control_days_0_to_7","NaN","NaN"
"426","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__","Control_days_0_to_7","-100","0.422649730810374"
"427","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas","Control_days_0_to_7","NaN","NaN"
"428","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas","Control_days_0_to_7","NaN","NaN"
"429","k__Bacteria;p__Proteobacteria;c__TA18;o__PHOS-HD29;f__;g__","Control_days_0_to_7","NaN","NaN"
"430","k__Bacteria;p__SR1;c__;o__;f__;g__","Control_days_0_to_7","NaN","NaN"
"431","k__Bacteria;p__TM6;c__SJA-4;o__;f__;g__","Control_days_0_to_7","NaN","NaN"
"432","k__Bacteria;p__TM7;c__;o__;f__;g__","Control_days_0_to_7","NaN","NaN"
"433","k__Bacteria;p__TM7;c__SC3;o__;f__;g__","Control_days_0_to_7","NaN","NaN"
"434","k__Bacteria;p__TM7;c__TM7-3;o__CW040;f__F16;g__","Control_days_0_to_7","509.258461538462","0.295399309474932"
"435","k__Bacteria;p__Tenericutes;c__CK-1C4-19;o__;f__;g__","Control_days_0_to_7","NaN","NaN"
"436","k__Bacteria;p__Tenericutes;c__Mollicutes;o__;f__;g__","Control_days_0_to_7","NaN","NaN"
"437","k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae;g__Anaeroplasma","Control_days_0_to_7","-75.8501824339307","0.226419956706054"
"438","k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__;g__","Control_days_0_to_7","39.2887389849901","0.161302571603525"
"439","k__Bacteria;p__Tenericutes;c__RF3;o__ML615J-28;f__;g__","Control_days_0_to_7","NaN","NaN"
"440","k__Bacteria;p__Verrucomicrobia;c__Verruco-5;o__WCHB1-41;f__;g__","Control_days_0_to_7","NaN","NaN"
"441","k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia","Control_days_0_to_7","-96.4755656871294","0.22864258749073"
"442","k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Prosthecobacter","Control_days_0_to_7","NaN","NaN"
"443","k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales];f__;g__","Control_days_0_to_7","NaN","NaN"
"444","k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae];g__DA101","Control_days_0_to_7","NaN","NaN"
"445","k__Bacteria;p__WPS-2;c__;o__;f__;g__","Control_days_0_to_7","NaN","NaN"
"446","k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus","Control_days_0_to_7","NaN","NaN"
"447","k__Bacteria;p__[Thermi];c__Deinococci;o__Thermales;f__Thermaceae;g__Thermus","Control_days_0_to_7","NaN","NaN"
"448","Unassigned;Other;Other;Other;Other;Other","Treatment_days_0_to_7","81.5353757848883","0.453826150782631"
"449","k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium","Treatment_days_0_to_7","NaN","NaN"
"450","k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera","Treatment_days_0_to_7","NaN","NaN"
"451","k__Archaea;p__[Parvarchaeota];c__[Parvarchaea];o__WCHD3-30;f__;g__","Treatment_days_0_to_7","NaN","NaN"
"452","k__Bacteria;Other;Other;Other;Other;Other","Treatment_days_0_to_7","Inf","0.143767735540604"
"453","k__Bacteria;p__;c__;o__;f__;g__","Treatment_days_0_to_7","NaN","NaN"
"454","k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__","Treatment_days_0_to_7","NaN","NaN"
"455","k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__mb2424;g__","Treatment_days_0_to_7","NaN","NaN"
"456","k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__","Treatment_days_0_to_7","NaN","NaN"
"457","k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Edaphobacter","Treatment_days_0_to_7","NaN","NaN"
"458","k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__","Treatment_days_0_to_7","NaN","NaN"
"459","k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__","Treatment_days_0_to_7","NaN","NaN"
"460","k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__[Bryobacteraceae];g__","Treatment_days_0_to_7","NaN","NaN"
"461","k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__PK29;f__;g__","Treatment_days_0_to_7","NaN","NaN"
"462","k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__;g__","Treatment_days_0_to_7","NaN","NaN"
"463","k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__Ellin6075;g__","Treatment_days_0_to_7","NaN","NaN"
"464","k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__C111;g__","Treatment_days_0_to_7","NaN","NaN"
"465","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;Other;Other","Treatment_days_0_to_7","NaN","NaN"
"466","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__","Treatment_days_0_to_7","NaN","NaN"
"467","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__ACK-M1;g__","Treatment_days_0_to_7","NaN","NaN"
"468","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces","Treatment_days_0_to_7","NaN","NaN"
"469","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__N09","Treatment_days_0_to_7","NaN","NaN"
"470","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum","Treatment_days_0_to_7","NaN","NaN"
"471","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae;Other","Treatment_days_0_to_7","NaN","NaN"
"472","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Beutenbergiaceae;g__Salana","Treatment_days_0_to_7","NaN","NaN"
"473","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium","Treatment_days_0_to_7","NaN","NaN"
"474","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;Other","Treatment_days_0_to_7","NaN","NaN"
"475","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium","Treatment_days_0_to_7","NaN","NaN"
"476","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cryptosporangiaceae;g__","Treatment_days_0_to_7","NaN","NaN"
"477","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium","Treatment_days_0_to_7","NaN","NaN"
"478","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermacoccaceae;g__Dermacoccus","Treatment_days_0_to_7","NaN","NaN"
"479","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__","Treatment_days_0_to_7","NaN","NaN"
"480","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Geodermatophilus","Treatment_days_0_to_7","NaN","NaN"
"481","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Modestobacter","Treatment_days_0_to_7","NaN","NaN"
"482","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Gordoniaceae;g__Gordonia","Treatment_days_0_to_7","NaN","NaN"
"483","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;Other","Treatment_days_0_to_7","NaN","NaN"
"484","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae;g__","Treatment_days_0_to_7","NaN","NaN"
"485","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__","Treatment_days_0_to_7","NaN","NaN"
"486","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Candidatus Rhodoluna","Treatment_days_0_to_7","NaN","NaN"
"487","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Clavibacter","Treatment_days_0_to_7","NaN","NaN"
"488","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Cryocola","Treatment_days_0_to_7","NaN","NaN"
"489","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Curtobacterium","Treatment_days_0_to_7","NaN","NaN"
"490","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Frigoribacterium","Treatment_days_0_to_7","NaN","NaN"
"491","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Leucobacter","Treatment_days_0_to_7","NaN","NaN"
"492","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Pseudoclavibacter","Treatment_days_0_to_7","NaN","NaN"
"493","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Rathayibacter","Treatment_days_0_to_7","NaN","NaN"
"494","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;Other","Treatment_days_0_to_7","NaN","NaN"
"495","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__","Treatment_days_0_to_7","NaN","NaN"
"496","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Kocuria","Treatment_days_0_to_7","NaN","NaN"
"497","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus","Treatment_days_0_to_7","NaN","NaN"
"498","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Nesterenkonia","Treatment_days_0_to_7","NaN","NaN"
"499","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia","Treatment_days_0_to_7","NaN","NaN"
"500","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae;g__Mycobacterium","Treatment_days_0_to_7","NaN","NaN"
"501","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;Other","Treatment_days_0_to_7","NaN","NaN"
"502","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus","Treatment_days_0_to_7","NaN","NaN"
"503","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__","Treatment_days_0_to_7","NaN","NaN"
"504","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Nocardioides","Treatment_days_0_to_7","NaN","NaN"
"505","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium","Treatment_days_0_to_7","NaN","NaN"
"506","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Actinomycetospora","Treatment_days_0_to_7","NaN","NaN"
"507","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Saccharopolyspora","Treatment_days_0_to_7","NaN","NaN"
"508","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces","Treatment_days_0_to_7","NaN","NaN"
"509","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Williamsiaceae;g__Williamsia","Treatment_days_0_to_7","NaN","NaN"
"510","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Yaniellaceae;g__Yaniella","Treatment_days_0_to_7","NaN","NaN"
"511","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__","Treatment_days_0_to_7","NaN","NaN"
"512","k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium","Treatment_days_0_to_7","-29.8916001597358","0.695943996341737"
"513","k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;Other","Treatment_days_0_to_7","NaN","NaN"
"514","k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__","Treatment_days_0_to_7","-86.6448542758512","0.227273402361663"
"515","k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia","Treatment_days_0_to_7","11.1379417840344","0.194588511364717"
"516","k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella","Treatment_days_0_to_7","NaN","NaN"
"517","k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__0319-7L14;f__;g__","Treatment_days_0_to_7","NaN","NaN"
"518","k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__","Treatment_days_0_to_7","NaN","NaN"
"519","k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__;g__","Treatment_days_0_to_7","NaN","NaN"
"520","k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Conexibacteraceae;g__","Treatment_days_0_to_7","NaN","NaN"
"521","k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__","Treatment_days_0_to_7","NaN","NaN"
"522","k__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__Armatimonadales;f__Armatimonadaceae;g__","Treatment_days_0_to_7","NaN","NaN"
"523","k__Bacteria;p__BRC1;c__PRR-11;o__;f__;g__","Treatment_days_0_to_7","NaN","NaN"
"524","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;Other;Other","Treatment_days_0_to_7","-24.0740740740741","0.422649730810374"
"525","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__","Treatment_days_0_to_7","807.442558934628","0.297556225866159"
"526","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;Other","Treatment_days_0_to_7","NaN","NaN"
"527","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__","Treatment_days_0_to_7","NaN","NaN"
"528","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Treatment_days_0_to_7","171.983133117148","0.140585033334151"
"529","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinilabiaceae;g__","Treatment_days_0_to_7","NaN","NaN"
"530","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Dysgonomonas","Treatment_days_0_to_7","NaN","NaN"
"531","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides","Treatment_days_0_to_7","-42.7600111332714","0.588301609635023"
